StartDate,EndDate,Status,Duration (in seconds),Finished,RecordedDate,ResponseId,name,granted_credit
12/09/2023 21:58,12/09/2023 21:59,IP Address,54,TRUE,12/09/2023 21:59,R_DGduXCI9EtKTYTT,Subject 39,1
12/09/2023 22:03,12/09/2023 22:04,IP Address,74,TRUE,12/09/2023 22:04,R_3NE7ysBfK2FryuN,Subject 39,1
13/09/2023 1:08,13/09/2023 1:09,IP Address,39,TRUE,13/09/2023 1:09,R_3NIAZgREQnlaq85,Subject 57,1
13/09/2023 1:43,13/09/2023 1:55,IP Address,694,TRUE,13/09/2023 1:55,R_2zFHlS2w9PWLXNM,Subject 53,1
13/09/2023 4:50,13/09/2023 4:52,IP Address,115,TRUE,13/09/2023 4:52,R_0SrQSQFK2Be6c7f,Subject 139,1
13/09/2023 16:42,13/09/2023 16:43,IP Address,63,TRUE,13/09/2023 16:43,R_3z95AZA102PHX21,Subject 3,1
13/09/2023 17:18,13/09/2023 17:19,IP Address,60,TRUE,13/09/2023 17:19,R_0ptArVivj03Z9jX,Subject 58,1
13/09/2023 17:19,13/09/2023 17:20,IP Address,45,TRUE,13/09/2023 17:20,R_239rBiAg6zD0C1n,Subject 92,1
13/09/2023 17:32,13/09/2023 17:33,IP Address,81,TRUE,13/09/2023 17:33,R_2PAlrq5iPxwSQ3R,Subject 87,1
13/09/2023 18:51,13/09/2023 18:51,IP Address,39,TRUE,13/09/2023 18:51,R_1F38uMeZU1FcuS7,Subject 45,1
13/09/2023 19:04,13/09/2023 19:07,IP Address,192,TRUE,13/09/2023 19:07,R_3J8cfhWoicZt7d9,Subject 48,1
13/09/2023 19:15,13/09/2023 19:16,IP Address,78,TRUE,13/09/2023 19:16,R_3LXQfvgSCfWU4ml,Subject 81,1
13/09/2023 19:24,13/09/2023 19:26,IP Address,114,TRUE,13/09/2023 19:26,R_2scDncPQ6SKFNiT,Subject 119,1
13/09/2023 19:29,13/09/2023 19:31,IP Address,93,TRUE,13/09/2023 19:31,R_1E7g3sTADpTfC63,Subject 20,1
13/09/2023 19:59,13/09/2023 20:00,IP Address,38,TRUE,13/09/2023 20:00,R_3nvFk6d9e1CtVlz,Subject 107,1
13/09/2023 20:14,13/09/2023 20:15,IP Address,51,TRUE,13/09/2023 20:15,R_ptq2svaYqBwjB2F,Subject 96,1
13/09/2023 21:01,13/09/2023 21:02,IP Address,92,TRUE,13/09/2023 21:02,R_2fkzV8sT0ozLBOX,Subject 11,1
13/09/2023 21:12,13/09/2023 21:13,IP Address,57,TRUE,13/09/2023 21:13,R_2yqO4D0r7EZGngD,Subject 75,1
13/09/2023 21:20,13/09/2023 21:22,IP Address,92,TRUE,13/09/2023 21:22,R_1Ic4Zvc740SkS2z,Subject 113,1
13/09/2023 21:21,13/09/2023 21:22,IP Address,70,TRUE,13/09/2023 21:22,R_3dWA5di6GAcpwM2,Subject 16,1
13/09/2023 21:29,13/09/2023 21:30,IP Address,29,TRUE,13/09/2023 21:30,R_3sbqGFTlxZh7aAO,Subject 98,1
13/09/2023 21:29,13/09/2023 21:30,IP Address,43,TRUE,13/09/2023 21:30,R_12ifp4pwkITq2kH,Subject 41,1
13/09/2023 22:18,13/09/2023 22:18,IP Address,48,TRUE,13/09/2023 22:18,R_1mhfq8yJ8TFrPYb,Subject 4,1
13/09/2023 22:22,13/09/2023 22:23,IP Address,65,TRUE,13/09/2023 22:23,R_10NmZHaE5ZcAGRP,Subject 77,1
13/09/2023 22:26,13/09/2023 22:26,IP Address,18,TRUE,13/09/2023 22:26,R_1eOAHMtqHDiuVvN,Subject 36,1
13/09/2023 22:45,13/09/2023 22:45,IP Address,30,TRUE,13/09/2023 22:45,R_31ylKGRNGMbq5xE,Subject 12,1
13/09/2023 22:46,13/09/2023 22:47,IP Address,39,TRUE,13/09/2023 22:47,R_2P5ccAa4jJ3sIeq,Subject 1,1
13/09/2023 22:50,13/09/2023 22:54,IP Address,193,TRUE,13/09/2023 22:54,R_1FkTWouqGVQh3W3,Subject 71,1
13/09/2023 23:24,13/09/2023 23:25,IP Address,42,TRUE,13/09/2023 23:25,R_2toq4JBdbI90nBK,Subject 98,1
13/09/2023 23:46,13/09/2023 23:47,IP Address,98,TRUE,13/09/2023 23:47,R_1OkOhFVCGLgcneX,Subject 123,1
14/09/2023 1:06,14/09/2023 1:06,IP Address,40,TRUE,14/09/2023 1:06,R_3knpAJa26JdS7VV,Subject 133,1
14/09/2023 1:11,14/09/2023 1:12,IP Address,25,TRUE,14/09/2023 1:12,R_3oNKyeRvMcVJs3H,Subject 102,1
14/09/2023 1:46,14/09/2023 1:46,IP Address,25,TRUE,14/09/2023 1:46,R_qyFKYRJ5PbDqfEl,Subject 15,1
14/09/2023 2:04,14/09/2023 2:05,IP Address,43,TRUE,14/09/2023 2:05,R_1i8N3jr3EShMa45,Subject 103,1
14/09/2023 2:06,14/09/2023 2:07,IP Address,47,TRUE,14/09/2023 2:07,R_qITRC46hCEYo6L7,Subject 122,1
14/09/2023 2:12,14/09/2023 2:13,IP Address,49,TRUE,14/09/2023 2:13,R_oYwQ8zyTPZ415aF,Subject 141,1
14/09/2023 2:24,14/09/2023 2:24,IP Address,41,TRUE,14/09/2023 2:24,R_dbvevgx5g3AWGKB,Subject 85,0
14/09/2023 3:02,14/09/2023 3:03,IP Address,33,TRUE,14/09/2023 3:03,R_1NrDEO4YIQrWTTW,Subject 108,1
14/09/2023 3:09,14/09/2023 3:10,IP Address,37,TRUE,14/09/2023 3:10,R_3fd7AnzYz3LQwXJ,Subject 90,1
14/09/2023 3:31,14/09/2023 3:32,IP Address,93,TRUE,14/09/2023 3:32,R_3kOlIQTqlFGkyVV,Subject 136,1
14/09/2023 3:43,14/09/2023 3:43,IP Address,37,TRUE,14/09/2023 3:43,R_2rJwHknuKPj7kLU,Subject 129,1
14/09/2023 3:44,14/09/2023 3:44,IP Address,39,TRUE,14/09/2023 3:44,R_7UvR2cl4M4kW2zf,Subject 61,1
14/09/2023 3:47,14/09/2023 3:49,IP Address,116,TRUE,14/09/2023 3:49,R_22AfZ85C7nrz5IV,Subject 126,1
14/09/2023 4:23,14/09/2023 4:23,IP Address,21,TRUE,14/09/2023 4:23,R_1GJODYr3fLvh5GH,Subject 24,1
14/09/2023 4:33,14/09/2023 4:34,IP Address,67,TRUE,14/09/2023 4:34,R_2s554HeWRQVvksu,Subject 76,1
14/09/2023 4:42,14/09/2023 4:43,IP Address,31,TRUE,14/09/2023 4:43,R_WAOoZ7FJVsAMehH,Subject 27,1
14/09/2023 5:30,14/09/2023 5:32,IP Address,127,TRUE,14/09/2023 5:32,R_DLTn1Vxzwj639ZL,Subject 64,1
14/09/2023 6:22,14/09/2023 6:24,IP Address,126,TRUE,14/09/2023 6:24,R_21ppdqoy7BtIaqL,Subject 131,1
14/09/2023 6:42,14/09/2023 6:43,IP Address,54,TRUE,14/09/2023 6:43,R_NVCxB9qDb4m9gL7,Subject 19,1
14/09/2023 6:44,14/09/2023 6:45,IP Address,33,TRUE,14/09/2023 6:45,R_2Yy57zcP3FJiNmu,Subject 68,1
14/09/2023 7:39,14/09/2023 7:40,IP Address,25,TRUE,14/09/2023 7:40,R_Q3ALjpx9Kaly1Pz,Subject 86,1
14/09/2023 17:37,14/09/2023 17:38,IP Address,86,TRUE,14/09/2023 17:38,R_1mefAXvVFDwc0Sr,Subject 42,1
14/09/2023 17:39,14/09/2023 17:40,IP Address,50,TRUE,14/09/2023 17:40,R_2WBcYfnTRxRGpSb,Subject 70,1
14/09/2023 17:41,14/09/2023 17:43,IP Address,117,TRUE,14/09/2023 17:43,R_uwdWSR1YW885qpP,Subject 33,1
14/09/2023 18:26,14/09/2023 18:26,IP Address,55,TRUE,14/09/2023 18:26,R_2w6Kx0BjSsf0xPe,Subject 50,1
14/09/2023 18:34,14/09/2023 18:35,IP Address,44,TRUE,14/09/2023 18:35,R_3JJxZ1bsu9yXxv9,Subject 18,1
14/09/2023 18:35,14/09/2023 18:37,IP Address,104,TRUE,14/09/2023 18:37,R_1gcLgJhGL5BzBuI,Subject 5,1
14/09/2023 18:48,14/09/2023 18:49,IP Address,71,TRUE,14/09/2023 18:49,R_1dMj954V6MsUhL1,Subject 51,1
14/09/2023 19:25,14/09/2023 19:26,IP Address,27,TRUE,14/09/2023 19:26,R_3DjP81ULgVzYXCO,Subject 22,1
14/09/2023 20:01,14/09/2023 20:01,IP Address,38,TRUE,14/09/2023 20:01,R_1JOQ7edvaNqRcvB,Subject 111,1
14/09/2023 20:09,14/09/2023 20:11,IP Address,122,TRUE,14/09/2023 20:11,R_10SPAGdfASA7r0V,Subject 23,1
14/09/2023 20:13,14/09/2023 20:15,IP Address,84,TRUE,14/09/2023 20:15,R_28BvLbcKv6gwzI7,Subject 128,1
14/09/2023 20:14,14/09/2023 20:15,IP Address,38,TRUE,14/09/2023 20:15,R_41oO1Bnt14ZSgN3,Subject 28,1
14/09/2023 20:27,14/09/2023 20:28,IP Address,47,TRUE,14/09/2023 20:28,R_1qb5m2GTyxgFpNn,Subject 49,1
14/09/2023 20:31,14/09/2023 20:32,IP Address,45,TRUE,14/09/2023 20:32,R_2U58qYJS49Z57fe,Subject 6,1
14/09/2023 20:34,14/09/2023 20:34,IP Address,34,TRUE,14/09/2023 20:34,R_1NxoigbjvVm0OaZ,Subject 102,1
14/09/2023 20:36,14/09/2023 20:37,IP Address,39,TRUE,14/09/2023 20:37,R_2348ZT15xkVdK3f,Subject 112,1
14/09/2023 21:39,14/09/2023 21:40,IP Address,49,TRUE,14/09/2023 21:40,R_Qg3rffffaDxZ5BL,Subject 85,0
14/09/2023 22:31,14/09/2023 22:32,IP Address,36,TRUE,14/09/2023 22:32,R_1EcJun76PIsRLsS,Subject 100,1
14/09/2023 22:44,14/09/2023 22:45,IP Address,90,TRUE,14/09/2023 22:45,R_smXDWhXjQJxkn3r,Subject 118,1
14/09/2023 23:11,14/09/2023 23:12,IP Address,39,TRUE,14/09/2023 23:12,R_VLrg1bYhY1fbLIB,Subject 101,1
14/09/2023 23:26,14/09/2023 23:27,IP Address,53,TRUE,14/09/2023 23:27,R_1puqUtGuhn8xoXB,Subject 7,1
14/09/2023 23:30,14/09/2023 23:30,IP Address,26,TRUE,14/09/2023 23:30,R_rijj6sox5tQ7PeF,Subject 55,1
14/09/2023 23:56,14/09/2023 23:56,IP Address,36,TRUE,14/09/2023 23:56,R_1ls0DKyEPJFMphC,Subject 31,1
15/09/2023 0:00,15/09/2023 0:01,IP Address,40,TRUE,15/09/2023 0:01,R_01AnE2H8pptgVtD,Subject 94,1
15/09/2023 0:48,15/09/2023 0:51,IP Address,169,TRUE,15/09/2023 0:51,R_1NCFpZlT8BGq1ff,Subject 121,1
15/09/2023 1:08,15/09/2023 1:08,IP Address,35,TRUE,15/09/2023 1:08,R_1f1wOuKh3b3DT9M,Subject 73,1
15/09/2023 2:15,15/09/2023 2:16,IP Address,43,TRUE,15/09/2023 2:16,R_3sbmL8p4BYYvfK9,Subject 52,1
15/09/2023 2:35,15/09/2023 2:37,IP Address,80,TRUE,15/09/2023 2:37,R_pauROGW1vhlbVDj,Subject 54,1
15/09/2023 2:52,15/09/2023 2:52,IP Address,39,TRUE,15/09/2023 2:52,R_2YhLBFgwDxkpGoU,Subject 40,1
15/09/2023 4:06,15/09/2023 4:07,IP Address,48,TRUE,15/09/2023 4:07,R_1NwuJW0Avg5s4KW,Subject 91,1
15/09/2023 5:19,15/09/2023 5:19,IP Address,26,TRUE,15/09/2023 5:19,R_3oTvTwgNrPRHg8a,Subject 120,1
15/09/2023 5:28,15/09/2023 5:28,IP Address,33,TRUE,15/09/2023 5:28,R_3FPuACycpN41s4g,Subject 66,1
15/09/2023 6:02,15/09/2023 6:02,IP Address,33,TRUE,15/09/2023 6:02,R_2EE6Z780HLs0w9U,Subject 66,1
15/09/2023 6:28,15/09/2023 6:29,IP Address,38,TRUE,15/09/2023 6:29,R_Cdaz264kBWk6BfX,Subject 43,1
15/09/2023 9:06,15/09/2023 9:07,IP Address,81,TRUE,15/09/2023 9:07,R_1QiK6TRqZmHeFVX,Subject 74,1
15/09/2023 10:14,15/09/2023 10:14,IP Address,25,TRUE,15/09/2023 10:14,R_5gAnY7RNqINddWp,Subject 59,1
15/09/2023 15:50,15/09/2023 15:51,IP Address,26,TRUE,15/09/2023 15:51,R_2QookOyK9sh8UR6,Subject 104,1
15/09/2023 19:39,15/09/2023 19:41,IP Address,98,TRUE,15/09/2023 19:41,R_WolhQTIzoxEINKp,Subject 105,1
15/09/2023 20:07,15/09/2023 20:07,IP Address,32,TRUE,15/09/2023 20:07,R_2ymgYdc7vPUSE7V,Subject 38,1
15/09/2023 20:42,15/09/2023 20:42,IP Address,42,TRUE,15/09/2023 20:42,R_1g6YKb8u1wHzwKq,Subject 124,1
15/09/2023 22:32,15/09/2023 22:33,IP Address,40,TRUE,15/09/2023 22:33,R_23eoLvbbR91fdZ9,Subject 25,1
15/09/2023 22:40,15/09/2023 22:40,IP Address,39,TRUE,15/09/2023 22:40,R_3dQEuJHi3v6zmSr,Subject 138,1
15/09/2023 23:09,15/09/2023 23:09,IP Address,44,TRUE,15/09/2023 23:09,R_1E4n2UcUGGVed8z,Subject 135,1
16/09/2023 1:09,16/09/2023 1:10,IP Address,84,TRUE,16/09/2023 1:10,R_9Br5zWy8kStGWAx,Subject 72,1
16/09/2023 2:14,16/09/2023 2:15,IP Address,41,TRUE,16/09/2023 2:15,R_3hstMua7HkjVorW,Subject 135,1
16/09/2023 2:28,16/09/2023 2:29,IP Address,32,TRUE,16/09/2023 2:29,R_1DOyNk62bffZoSp,Subject 14,1
16/09/2023 2:42,16/09/2023 2:43,IP Address,77,TRUE,16/09/2023 2:43,R_2riuFhsHDPFV6iv,Subject 63,0
16/09/2023 3:20,16/09/2023 3:21,IP Address,60,TRUE,16/09/2023 3:21,R_2QoKFAjLYeii9YT,Subject 130,1
16/09/2023 4:28,16/09/2023 4:29,IP Address,71,TRUE,16/09/2023 4:29,R_1rGRgZHhfEf6tep,Subject 80,1
16/09/2023 4:59,16/09/2023 5:00,IP Address,37,TRUE,16/09/2023 5:00,R_2zdRDFWmbgydHbQ,Subject 30,1
16/09/2023 5:26,16/09/2023 5:27,IP Address,30,TRUE,16/09/2023 5:27,R_phiorsEm2vOznPz,Subject 56,1
16/09/2023 6:04,16/09/2023 6:05,IP Address,54,TRUE,16/09/2023 6:05,R_3EfA72tDixYAE0Q,Subject 79,1
16/09/2023 6:45,16/09/2023 6:46,IP Address,50,TRUE,16/09/2023 6:46,R_3PiWeYw8Uw8LGN0,Subject 37,1
16/09/2023 16:03,16/09/2023 16:04,IP Address,28,TRUE,16/09/2023 16:04,R_3iKm332XmFSnToE,Subject 104,1
16/09/2023 19:51,16/09/2023 19:52,IP Address,46,TRUE,16/09/2023 19:52,R_3O7V49ObISsd6aI,Subject 78,1
16/09/2023 20:05,16/09/2023 20:06,IP Address,37,TRUE,16/09/2023 20:06,R_21sVFQyrCAjR8BS,Subject 95,1
16/09/2023 20:07,16/09/2023 20:08,IP Address,66,TRUE,16/09/2023 20:08,R_2qF643D8ih7dZns,Subject 95,1
16/09/2023 20:31,16/09/2023 20:33,IP Address,145,TRUE,16/09/2023 20:33,R_1hRUjFM8bi4kTkt,Subject 2,1
16/09/2023 20:41,16/09/2023 20:41,IP Address,42,TRUE,16/09/2023 20:41,R_2P1GRbblgh9E7FD,Subject 2,1
16/09/2023 20:42,16/09/2023 20:43,IP Address,70,TRUE,16/09/2023 20:43,R_cvTXCMfDDih6u8V,Subject 2,1
16/09/2023 20:57,16/09/2023 21:00,IP Address,153,TRUE,16/09/2023 21:00,R_AjTWfjvqefVnBD3,Subject 13,1
16/09/2023 23:08,16/09/2023 23:09,IP Address,65,TRUE,16/09/2023 23:09,R_1IoALzXCjePyefF,Subject 69,1
17/09/2023 0:34,17/09/2023 0:35,IP Address,48,TRUE,17/09/2023 0:35,R_3DpgXDPXfkO4dVe,Subject 82,1
17/09/2023 4:28,17/09/2023 4:31,IP Address,204,TRUE,17/09/2023 4:31,R_b89Wqt3iCHHcvaF,Subject 140,1
17/09/2023 5:08,17/09/2023 5:09,IP Address,76,TRUE,17/09/2023 5:09,R_3MM6DeSb3tqslTt,Subject 21,1
17/09/2023 5:10,17/09/2023 5:11,IP Address,64,TRUE,17/09/2023 5:11,R_33fekGZRAOyQG4S,Subject 67,1
17/09/2023 5:20,17/09/2023 5:20,IP Address,29,TRUE,17/09/2023 5:20,R_2tzdaqGYHeikesu,Subject 21,1
17/09/2023 5:50,17/09/2023 5:51,IP Address,45,TRUE,17/09/2023 5:51,R_bKlVUa5LaKxT2AF,Subject 60,1
17/09/2023 6:11,17/09/2023 6:12,IP Address,78,TRUE,17/09/2023 6:12,R_2wboMPnyXZzxFwR,Subject 46,1
17/09/2023 6:19,17/09/2023 6:20,IP Address,56,TRUE,17/09/2023 6:20,R_1EX3t10ULS0HZaH,Subject 89,1
17/09/2023 8:47,17/09/2023 8:48,IP Address,27,TRUE,17/09/2023 8:48,R_24N9pNlbM5Vttb9,Subject 34,1
17/09/2023 17:29,17/09/2023 17:30,IP Address,85,TRUE,17/09/2023 17:30,R_1mrCUpFQofBYxkK,Subject 134,1
17/09/2023 17:56,17/09/2023 17:56,IP Address,15,TRUE,17/09/2023 17:56,R_26au5ZlLpyDgF52,Subject 9,1
17/09/2023 18:21,17/09/2023 18:22,IP Address,30,TRUE,17/09/2023 18:22,R_u3AvyaDdtYL1YL7,Subject 69,1
17/09/2023 19:13,17/09/2023 19:14,IP Address,45,TRUE,17/09/2023 19:14,R_1lhPNLvaQ2x2gAw,Subject 93,1
17/09/2023 19:37,17/09/2023 19:38,IP Address,102,TRUE,17/09/2023 19:38,R_3ssOr381M4tdvjF,Subject 106,1
17/09/2023 19:51,17/09/2023 19:53,IP Address,132,TRUE,17/09/2023 19:54,R_2uDR1NDxogAJwJH,Subject 110,1
17/09/2023 21:06,17/09/2023 21:07,IP Address,24,TRUE,17/09/2023 21:07,R_SIQWZGyeEj39cjL,Subject 114,1
17/09/2023 21:44,17/09/2023 21:52,IP Address,476,TRUE,17/09/2023 21:52,R_2TYJWuDfIvIhVnD,Subject 88,1
17/09/2023 22:47,17/09/2023 22:48,IP Address,47,TRUE,17/09/2023 22:48,R_RbkUIAlqevxfsfT,Subject 116,1
17/09/2023 22:51,17/09/2023 22:51,IP Address,46,TRUE,17/09/2023 22:51,R_vJit94nI64xCiKR,Subject 47,1
17/09/2023 23:25,17/09/2023 23:26,IP Address,32,TRUE,17/09/2023 23:26,R_3qEynr1v7G08erc,Subject 116,1
17/09/2023 23:30,17/09/2023 23:32,IP Address,80,TRUE,17/09/2023 23:32,R_1j99ORF7BYnhX8L,Subject 137,1
17/09/2023 23:34,17/09/2023 23:35,IP Address,53,TRUE,17/09/2023 23:35,R_8H1MeUgZ8cBrQC5,Subject 127,1
18/09/2023 2:34,18/09/2023 2:35,IP Address,50,TRUE,18/09/2023 2:35,R_2SdaPVOB570AYJp,Subject 26,1
18/09/2023 2:35,18/09/2023 2:36,IP Address,63,TRUE,18/09/2023 2:36,R_Wc8zgzFR1qQAjDz,Subject 65,1
18/09/2023 4:51,18/09/2023 4:52,IP Address,29,TRUE,18/09/2023 4:52,R_1PSt1rwzLl0SEcu,Subject 117,1
18/09/2023 4:53,18/09/2023 4:54,IP Address,29,TRUE,18/09/2023 4:54,R_3lKZwi6XWWN3Y0E,Subject 32,1
18/09/2023 5:13,18/09/2023 5:15,IP Address,163,TRUE,18/09/2023 5:15,R_1DwLYXVQA5qERAN,Subject 132,1
18/09/2023 5:33,18/09/2023 5:34,IP Address,48,TRUE,18/09/2023 5:34,R_bw7qNgvhTf2h7Pj,Subject 8,1
18/09/2023 5:54,18/09/2023 5:55,IP Address,47,TRUE,18/09/2023 5:55,R_3nSnqdapjrfm49n,Subject 97,1
18/09/2023 6:06,18/09/2023 6:08,IP Address,104,TRUE,18/09/2023 6:08,R_3GycT4aPH6DZG3I,Subject 17,1
18/09/2023 6:30,18/09/2023 6:31,IP Address,33,TRUE,18/09/2023 6:31,R_2pLTSlW48pzlrqQ,Subject 35,1
18/09/2023 6:39,18/09/2023 6:41,IP Address,88,TRUE,18/09/2023 6:41,R_2D7efUXDeQ7wMqD,Subject 10,1
18/09/2023 7:13,18/09/2023 7:14,IP Address,71,TRUE,18/09/2023 7:14,R_2Sxdpag9pHYfPAV,Subject 109,1
18/09/2023 7:32,18/09/2023 7:32,IP Address,37,TRUE,18/09/2023 7:32,R_2flmzEYdEvwT4I7,Subject 109,1
18/09/2023 7:35,18/09/2023 7:36,IP Address,23,TRUE,18/09/2023 7:36,R_vDlIl989wk4rcJ3,Subject 34,1
18/09/2023 8:14,18/09/2023 8:15,IP Address,107,TRUE,18/09/2023 8:15,R_27U5CBKAhPtpvUL,Subject 2,1
18/09/2023 9:37,18/09/2023 9:37,IP Address,24,TRUE,18/09/2023 9:37,R_1NEyD3ZIoMPr2aB,Subject 125,1
18/09/2023 10:25,18/09/2023 10:27,IP Address,112,TRUE,18/09/2023 10:27,R_3MEVOYRupKgG7YS,Subject 62,1
18/09/2023 15:55,18/09/2023 15:56,IP Address,42,TRUE,18/09/2023 15:56,R_pRh2uJ4M5tZILYJ,Subject 115,1
18/09/2023 17:12,18/09/2023 17:13,IP Address,24,TRUE,18/09/2023 17:13,R_b8EhEfa6ylanFcJ,Subject 9,1
18/09/2023 17:56,18/09/2023 17:56,IP Address,53,TRUE,18/09/2023 17:56,R_1MRlDxn5n6mifgX,Subject 44,1
18/09/2023 18:40,18/09/2023 18:41,IP Address,32,TRUE,18/09/2023 18:41,R_sM6lW7FrHpgs30R,Subject 84,1
18/09/2023 19:07,18/09/2023 19:10,IP Address,131,TRUE,18/09/2023 19:10,R_2YRfLgj9tB6FRLf,Subject 29,1
18/09/2023 19:10,18/09/2023 19:12,IP Address,90,TRUE,18/09/2023 19:12,R_2AX2oOddXF034sG,Subject 83,1
18/09/2023 19:58,18/09/2023 19:59,IP Address,50,TRUE,18/09/2023 19:59,R_3s1CaMLs01iy7Es,Subject 99,1
18/09/2023 20:00,18/09/2023 20:01,IP Address,37,TRUE,18/09/2023 20:01,R_2QzUHeDOvJQdsxn,Subject 99,1
